n,run,rounds,rocketsSent,rocketsReceived,t_min_ms,t_mean_ms,t_max_ms,wall_ms
2,0,5,3,3,0.2349,1.5753,5.6566,8
2,1,7,4,4,0.2357,1.1261,5.9299,8
2,2,6,4,4,0.2871,1.4608,6.1115,9
4,0,5,6,18,0.4681,2.0072,7.5055,10
4,1,6,5,15,0.4559,1.8500,8.3747,11
4,2,6,8,24,0.4271,1.7493,7.2023,10
8,0,9,18,126,0.6796,2.5603,11.6099,23
8,1,8,15,105,0.6481,2.7197,12.3418,22
8,2,7,19,133,0.7326,3.0628,11.2399,22
16,0,10,31,465,0.4506,3.7570,23.6316,39
16,1,10,33,495,0.4331,3.7743,23.6900,39
16,2,12,29,435,0.3953,3.2845,24.3260,40
32,0,8,60,1860,0.8734,7.8882,40.6144,63
32,1,9,58,1798,0.8164,7.0913,40.4882,64
32,2,9,62,1922,0.8132,7.1383,40.3087,65
64,0,13,139,8757,0.8734,14.3360,89.6265,188
64,1,10,127,8001,1.5435,17.2100,88.3761,173
64,2,11,126,7938,1.4476,14.9927,89.7523,166
128,0,11,256,32512,1.4792,48.5612,289.4509,537
128,1,11,252,32004,1.3831,39.7210,240.4934,440
128,2,13,263,33401,1.3700,35.1102,248.8293,459
256,0,14,496,126480,2.8985,102.5389,761.7297,1440
256,1,12,510,130050,8.6244,151.6283,739.4399,1830
256,2,17,507,129285,2.7750,87.2904,766.9863,1488
512,0,15,1043,532973,5.3022,362.3333,2616.8238,5444
512,1,17,1014,518154,12.1714,676.0913,5125.8924,11511
512,2,15,1030,526330,11.8212,736.1853,4696.7914,11061
1024,0,17,2050,2097150,10.1128,1395.1572,11102.4576,23734
1024,1,15,2114,2162622,10.0949,1497.6983,10343.1023,22482
1024,2,15,2041,2087943,10.3331,1553.4069,11125.0826,23317
2048,0,14,4172,8540084,21.4098,6673.2758,44701.4337,93461
2048,1,15,4100,8392700,34.5430,9123.3299,57818.6111,136899
2048,2,18,4074,8339478,37.7604,7434.8126,63568.5400,133872
4096,0,17,8206,33603570,74.7279,38737.5623,310147.4727,658666
4096,1,18,8316,34054020,72.1623,32013.5657,267256.3040,576337
4096,2,19,8169,33452055,73.1146,30039.0306,267197.3101,570833
8192,0,20,16391,134258681,286.9557,122504.1273,1029521.0256,2450410
8192,1,17,16328,133742648,167.6700,159245.7060,1393381.3830,2707472
8192,2,17,16388,134234108,185.0144,160950.8577,1252030.6464,2736431
